"","contrast","outcome","ef"
"1","Women Female scientist Not pictured - Women Female scientist Pictured","lead.all","-0.60 (-1.06, -0.14)"
"2","Women Female scientist Not pictured - Women Female scientist Pictured","interest.all","-0.55 (-1.01, -0.09)"
"3","Women Female scientist Not pictured - Women Female scientist Pictured","dd.belonging.all","-0.20 (-0.66, 0.25)"
"4","Women Female scientist Not pictured - Women Female scientist Pictured","dd.id.all","-0.20 (-0.66, 0.26)"
"5","Women Female scientist Pictured - Men Female scientist Pictured","lead.all","-0.11 (-0.51, 0.30)"
"6","Women Female scientist Pictured - Men Female scientist Pictured","interest.all","-0.22 (-0.62, 0.19)"
"7","Women Female scientist Pictured - Men Female scientist Pictured","dd.belonging.all","0.09 (-0.32, 0.49)"
"8","Women Female scientist Pictured - Men Female scientist Pictured","dd.id.all","-0.24 (-0.65, 0.16)"
"9","Women Female scientist Pictured - Women Male scientist Pictured","lead.all","-0.57 (-0.98, -0.15)"
"10","Women Female scientist Pictured - Women Male scientist Pictured","interest.all","-0.52 (-0.93, -0.11)"
"11","Women Female scientist Pictured - Women Male scientist Pictured","dd.belonging.all","-0.16 (-0.57, 0.26)"
"12","Women Female scientist Pictured - Women Male scientist Pictured","dd.id.all","-0.56 (-0.98, -0.15)"
"13","Women Male scientist Pictured - Men Male scientist Pictured","lead.all","-0.53 (-0.92, -0.14)"
"14","Women Male scientist Pictured - Men Male scientist Pictured","interest.all","-0.31 (-0.70, 0.07)"
"15","Women Male scientist Pictured - Men Male scientist Pictured","dd.belonging.all","-0.19 (-0.58, 0.20)"
"16","Women Male scientist Pictured - Men Male scientist Pictured","dd.id.all","-0.44 (-0.83, -0.05)"
